	SRR9004635.trimmed.SCR64.bam	SRR9004636.trimmed.SCR64.bam	SRR9004637.trimmed.SCR64.bam	SRR9004638.trimmed.SCR64.bam	SRR9004639.trimmed.SCR64.bam	SRR9004640.trimmed.SCR64.bam	SRR9004641.trimmed.SCR64.bam	SRR9004642.trimmed.SCR64.bam	SRR9004643.trimmed.SCR64.bam	SRR9004644.trimmed.SCR64.bam	SRR9004645.trimmed.SCR64.bam
YDL248W	323	295	282	148	117	116	127	119	132	197	216
YDL247W-A	0	4	2	20	10	13	22	24	18	3	1
YDL247W	25	22	28	65	34	33	48	66	45	11	30
YDL246C	39	36	34	38	28	17	42	26	42	42	43
YDL245C	43	42	50	19	12	25	20	20	27	34	55
YDL244W	10	12	23	25	13	12	19	33	11	19	19
YDL243C	75	72	58	36	27	22	23	43	37	59	68
YDL242W	35	14	12	2	1	8	5	5	4	9	11
YDL241W	230	213	219	92	60	66	82	107	94	183	252
YDL240C-A	1	0	1	0	0	0	1	0	0	0	0
YDL240W	379	362	345	231	173	292	181	190	246	222	259
YDL239C	104	72	96	76	79	80	61	71	76	81	75
YDL238C	86	86	86	47	74	77	67	99	91	82	74
YDL237W	563	510	618	627	463	552	493	609	578	544	514
YDL236W	966	901	945	1298	996	1072	990	1219	1091	883	872
YDL235C	415	517	564	663	578	642	541	546	595	465	445
YDL234C	504	487	566	236	157	161	186	195	196	375	382
YDL233W	225	236	275	172	148	131	172	208	173	191	221
YDL232W	311	288	364	532	445	420	402	482	479	358	380
YDL231C	909	808	947	1042	864	1146	751	1012	972	729	779
YDL230W	251	243	240	232	186	176	189	254	227	213	226
YDL229W	32343	30669	32817	31052	23893	29583	22077	25027	25726	28071	26218
YDL228C	15809	15365	17174	17138	12785	14596	13249	13334	13616	16130	13106
YDL227C	79	75	77	99	73	65	74	89	81	74	81
YDL226C	1022	978	1038	1275	944	977	921	1179	1083	823	1000
YDL225W	869	811	835	646	535	594	492	541	512	631	715
YDL224C	651	659	640	618	535	646	480	565	573	529	585
YDL223C	143	100	162	384	323	469	383	457	502	108	130
YDL222C	44	55	63	455	309	340	498	821	700	41	43
YDL221W	80	61	58	49	50	49	49	51	35	73	62
YDL220C	201	148	138	126	92	127	86	92	91	118	148
YDL219W	367	372	350	285	227	242	328	246	228	326	362
YDL218W	38	33	36	32	24	36	20	36	29	26	43
YDL217C	360	333	362	389	262	312	353	398	393	260	334
YDL216C	107	93	93	56	70	71	55	83	70	87	83
YDL215C	492	450	701	447	328	433	375	545	476	462	357
YDL214C	104	72	119	67	60	53	57	56	64	78	50
YDL213C	1166	1118	1331	1388	1014	1012	875	970	1077	1073	1098
YDL212W	1180	1142	1440	2034	1569	1660	1535	1626	1653	1297	1194
YDL211C	107	93	77	102	99	82	56	99	88	72	87
tG(GCC)D1	0	0	0	1	0	0	0	0	0	0	0
YDL210W	1	3	5	28	26	24	35	53	44	3	7
YDL209C	177	158	195	213	179	174	162	274	208	144	156
YDL208W	3319	3062	3784	4915	3692	3515	3272	3657	3658	3265	3215
YDL207W	503	480	479	390	310	404	290	385	365	343	376
YDL206W	93	111	115	75	53	78	75	96	91	72	93
YDL205C	370	344	371	552	382	424	395	544	420	270	298
YDL204W	1142	1021	1758	1006	724	785	1045	1397	1293	1263	1049
YDL203C	319	329	319	309	248	313	212	290	292	221	269
YDL202W	431	427	608	763	547	599	615	706	716	472	365
YDL201W	753	770	834	1161	800	888	743	850	810	701	703
YDL200C	48	49	76	135	95	91	108	127	113	58	46
YDL199C	40	47	54	40	33	32	39	43	44	55	43
YDL198C	738	706	736	1022	740	837	732	975	859	690	770
YDL197C	289	220	248	310	230	273	233	243	283	173	205
YDL196W	4	7	6	4	1	6	3	11	4	2	5
YDL195W	2693	2397	2669	2013	1656	2420	1517	1708	1898	1695	2047
YDL194W	112	134	110	54	39	62	59	77	76	103	97
YDL193W	426	414	342	331	264	291	252	270	270	311	395
YDL192W	3783	3662	4593	6514	5135	5456	5231	4781	5389	3893	3575
YDL191W	19171	19274	25109	25027	19813	21659	21236	18251	20687	22714	18277
YDL190C	775	704	760	584	461	621	455	534	574	519	600
YDL189W	704	690	713	794	608	759	585	673	656	473	542
YDL188C	682	683	673	764	553	685	507	705	647	563	596
YDL187C	16	15	24	15	5	9	13	19	22	13	10
YDL186W	51	40	60	57	24	36	44	67	56	38	41
YDL185C-A	155	147	154	397	315	482	241	355	429	56	141
YDL185W	4188	4092	4221	6656	5045	6198	4725	5355	5623	3282	3589
YDL184C	3939	3821	6536	4917	3712	4176	4259	3640	4292	5617	4156
YDL183C	89	78	72	86	42	56	59	77	82	56	61
YDL182W	2243	2082	2261	1762	1329	1473	1526	1599	1525	1783	1975
YDL181W	291	262	548	1114	782	845	956	972	1040	471	315
YDL180W	154	158	161	196	135	218	163	202	195	101	138
YDL179W	269	263	244	311	236	261	189	268	214	183	260
YDL178W	746	692	798	1043	827	888	785	1120	892	604	754
YDL177C	210	194	246	250	161	167	174	228	202	164	211
YDL176W	225	155	207	208	172	256	205	251	219	154	171
YDL175C	167	211	164	185	156	173	133	179	154	127	177
YDL174C	833	808	1013	2102	1626	1587	1591	2345	1830	751	832
YDL173W	1083	919	1008	991	745	861	773	1258	919	734	938
YDL172C	771	663	730	756	522	609	576	897	664	551	674
YDL171C	2122	1995	1945	1593	1246	1760	1083	1421	1362	1471	1682
YDL170W	342	330	264	212	181	205	182	250	212	209	275
YDL169C	65	65	92	73	46	52	61	72	59	92	71
YDL168W	2080	2073	2588	738	528	570	564	639	592	2089	1890
YDL167C	795	701	896	1162	1016	1174	794	915	875	584	729
YDL166C	483	552	543	635	482	465	467	509	499	493	444
YDL165W	438	470	454	621	426	469	417	463	453	461	362
YDL164C	570	507	531	450	283	423	286	357	357	336	504
