Sample	Tissue	Treatment	Replicate	Time
SRR5440784	Shoot	None	1	0
SRR5440785	Shoot	None	2	0
SRR5440786	Shoot	None	3	0
SRR5440814	Shoot	None	1	5
SRR5440815	Shoot	None	1	10
SRR5440816	Shoot	None	1	15
SRR5440817	Shoot	None	1	20
SRR5440818	Shoot	None	1	30
SRR5440819	Shoot	None	1	45
SRR5440820	Shoot	None	1	60
SRR5440821	Shoot	None	1	90
SRR5440822	Shoot	None	1	120
SRR5440823	Shoot	None	2	5
SRR5440824	Shoot	None	2	10
SRR5440825	Shoot	None	2	15
SRR5440826	Shoot	None	2	20
SRR5440827	Shoot	None	2	30
SRR5440828	Shoot	None	2	45
SRR5440829	Shoot	None	2	60
SRR5440830	Shoot	None	2	90
SRR5440831	Shoot	None	2	120
SRR5440832	Shoot	None	3	5
SRR5440833	Shoot	None	3	10
SRR5440834	Shoot	None	3	15
SRR5440835	Shoot	None	3	20
SRR5440836	Shoot	None	3	30
SRR5440837	Shoot	None	3	45
SRR5440838	Shoot	None	3	60
SRR5440839	Shoot	None	3	90
SRR5440840	Shoot	None	3	120
