	SRR5440795.trimmed.Athaliana.bam	SRR5440804.trimmed.Athaliana.bam	SRR5440813.trimmed.Athaliana.bam	SRR5440822.trimmed.Athaliana.bam	SRR5440831.trimmed.Athaliana.bam	SRR5440840.trimmed.Athaliana.bam
AT1G01010	613	740	502	277	295	511
AT1G01020	243	260	230	275	284	386
AT1G03987	2	1	0	0	0	0
AT1G01030	95	78	71	53	62	72
AT1G01040	1924	2405	1813	1472	1515	2207
AT1G03993	143	187	148	87	97	192
AT1G01046	22	24	20	18	12	25
AT1G01050	1179	1430	1062	932	844	1269
AT1G03997	2	0	1	0	0	5
AT1G01060	3330	3680	2927	2076	1902	3146
AT1G01070	325	309	269	242	195	238
AT1G04003	0	0	0	0	0	0
AT1G01080	365	351	312	282	242	286
AT1G01090	2060	2414	2009	2113	1868	2688
AT1G01100	4024	4295	3657	5850	5703	6823
AT1G01110	44	66	53	51	70	70
AT1G01120	1083	747	1007	860	835	1476
AT1G01130	30	82	62	31	32	31
AT1G01140	2165	2311	2356	667	533	752
AT1G01150	2	3	5	1	3	1
AT1G01160	837	944	764	748	740	883
AT1G04007	177	207	186	148	173	229
AT1G01170	624	681	564	496	411	449
AT1G04013	181	199	168	123	105	122
AT1G01180	468	493	413	163	114	253
AT1G01183	1	0	0	0	0	0
AT1G01190	265	161	217	71	93	143
AT1G01200	16	42	32	23	32	28
AT1G01210	201	231	174	342	371	466
AT1G04017	31	38	30	32	42	42
AT1G01220	787	1007	748	424	420	495
AT1G04023	34	45	47	7	11	18
AT1G01225	69	86	66	46	52	51
AT1G01230	656	750	633	487	407	669
AT1G01240	441	467	344	132	91	117
AT1G01250	56	124	79	44	38	38
AT1G01260	382	419	344	366	350	597
AT1G01270	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0
AT1G01290	336	441	305	331	345	457
AT1G01300	1076	1378	1261	912	881	1122
AT1G01305	1	0	0	0	0	0
AT1G01310	4	2	2	4	2	5
AT1G01320	6079	7238	5880	5243	4924	6602
AT1G01335	0	0	0	0	0	0
AT1G01340	1079	1075	925	395	418	824
AT1G01350	439	466	453	475	479	654
AT1G01355	5	16	9	10	5	5
AT1G01360	601	687	551	177	134	233
AT1G01370	36	58	44	43	53	40
AT1G01380	17	15	13	7	15	8
AT1G01390	24	20	15	11	5	12
AT1G01400	1	0	0	0	0	0
AT1G01410	0	0	0	0	0	0
AT1G01420	656	946	812	428	375	529
AT1G01430	908	952	1001	786	697	1016
