Sample	Tissue	Treatment	Replicate	Time
SRR5440786	Shoot	None	1	0
SRR5440785	Shoot	None	2	0
SRR5440784	Shoot	None	3	0
SRR5440841	Root	None	1	0
SRR5440842	Root	None	3	0
SRR5440843	Root	None	2	0
SRR5440787	Shoot	KCl	3	5
SRR5440796	Shoot	KCl	2	5
SRR5440805	Shoot	KCl	1	5
SRR5440814	Shoot	None	1	5
SRR5440832	Shoot	None	2	5
SRR5440823	Shoot	None	3	5
SRR5440871	Root	None	3	5
SRR5440880	Root	None	2	5
SRR5440889	Root	None	1	5
SRR5440844	Root	KCl	3	5
SRR5440853	Root	KCl	2	5
SRR5440862	Root	KCl	1	5
SRR5440788	Shoot	KCl	3	10
SRR5440797	Shoot	KCl	2	10
SRR5440806	Shoot	KCl	1	10
SRR5440815	Shoot	None	1	10
SRR5440833	Shoot	None	2	10
SRR5440824	Shoot	None	3	10
SRR5440872	Root	None	3	10
SRR5440881	Root	None	2	10
SRR5440890	Root	None	1	10
SRR5440845	Root	KCl	3	10
SRR5440854	Root	KCl	2	10
SRR5440863	Root	KCl	1	10
SRR5440789	Shoot	KCl	3	15
SRR5440798	Shoot	KCl	2	15
SRR5440807	Shoot	KCl	1	15
SRR5440834	Shoot	None	1	15
SRR5440825	Shoot	None	2	15
SRR5440816	Shoot	None	3	15
SRR5440873	Root	None	3	15
SRR5440882	Root	None	2	15
SRR5440891	Root	None	1	15
SRR5440846	Root	KCl	3	15
SRR5440855	Root	KCl	2	15
SRR5440864	Root	KCl	1	15
SRR5440790	Shoot	KCl	3	20
SRR5440799	Shoot	KCl	2	20
SRR5440808	Shoot	KCl	1	20
SRR5440835	Shoot	None	1	20
SRR5440826	Shoot	None	2	20
SRR5440817	Shoot	None	3	20
SRR5440874	Root	None	3	20
SRR5440883	Root	None	2	20
SRR5440892	Root	None	1	20
SRR5440847	Root	KCl	3	20
SRR5440856	Root	KCl	2	20
SRR5440865	Root	KCl	1	20
SRR5440791	Shoot	KCl	3	30
SRR5440800	Shoot	KCl	2	30
SRR5440809	Shoot	KCl	1	30
SRR5440836	Shoot	None	1	30
SRR5440827	Shoot	None	2	30
SRR5440818	Shoot	None	3	30
SRR5440848	Root	KCl	3	30
SRR5440857	Root	KCl	2	30
SRR5440866	Root	KCl	1	30
SRR5440875	Root	None	3	30
SRR5440884	Root	None	2	30
SRR5440893	Root	None	1	30
SRR5440792	Shoot	KCl	3	45
SRR5440801	Shoot	KCl	2	45
SRR5440810	Shoot	KCl	1	45
SRR5440849	Root	KCl	3	45
SRR5440858	Root	KCl	2	45
SRR5440867	Root	KCl	1	45
SRR5440837	Shoot	None	1	45
SRR5440828	Shoot	None	2	45
SRR5440819	Shoot	None	3	45
SRR5440876	Root	None	3	45
SRR5440885	Root	None	2	45
SRR5440894	Root	None	1	45
SRR5440793	Shoot	KCl	3	60
SRR5440802	Shoot	KCl	2	60
SRR5440811	Shoot	KCl	1	60
SRR5440850	Root	KCl	3	60
SRR5440859	Root	KCl	2	60
SRR5440868	Root	KCl	1	60
SRR5440838	Shoot	None	1	60
SRR5440829	Shoot	None	2	60
SRR5440820	Shoot	None	3	60
SRR5440877	Root	None	3	60
SRR5440886	Root	None	2	60
SRR5440895	Root	None	1	60
SRR5440794	Shoot	KCl	3	90
SRR5440803	Shoot	KCl	2	90
SRR5440812	Shoot	KCl	1	90
SRR5440851	Root	KCl	3	90
SRR5440860	Root	KCl	2	90
SRR5440869	Root	KCl	1	90
SRR5440839	Shoot	None	1	90
SRR5440830	Shoot	None	2	90
SRR5440821	Shoot	None	3	90
SRR5440878	Root	None	3	90
SRR5440887	Root	None	2	90
SRR5440896	Root	None	1	90
SRR5440795	Shoot	KCl	3	120
SRR5440804	Shoot	KCl	2	120
SRR5440813	Shoot	KCl	1	120
SRR5440852	Root	KCl	3	120
SRR5440861	Root	KCl	2	120
SRR5440870	Root	KCl	1	120
SRR5440840	Shoot	None	1	120
SRR5440831	Shoot	None	2	120
SRR5440822	Shoot	None	3	120
SRR5440879	Root	None	3	120
SRR5440888	Root	None	2	120
SRR5440897	Root	None	1	120
